GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
boot,com.sitionix.forgeai.config,ServiceProperties.DbConfig,13,0,2,0,2,0,3,0,2,0
boot,com.sitionix.forgeai.config,ServiceProperties,2,10,1,1,0,2,1,2,0,2
boot,com.sitionix.forgeai.config,AgentIdConverter,14,0,4,0,4,0,4,0,2,0
boot,com.sitionix.forgeai.config,ServiceProperties.DeployConfig,3,0,0,0,1,0,1,0,1,0
boot,com.sitionix.forgeai.config,AgentProperties,12,0,2,0,2,0,3,0,2,0
boot,com.sitionix.forgeai.config,ServiceProperties.TestType,21,0,0,0,4,0,1,0,1,0
boot,com.sitionix.forgeai.config,ServiceProperties.DbType,21,0,0,0,4,0,1,0,1,0
boot,com.sitionix.forgeai.config,ServiceProperties.ServiceConfig,16,3,2,0,1,1,3,1,2,1
boot,com.sitionix.forgeai.config,AgentProperties.AgentConfig,55,0,8,0,19,0,10,0,6,0
boot,com.sitionix.forgeai.config,ServiceProperties.DeployUnitConfig,3,0,0,0,1,0,1,0,1,0
boot,com.sitionix.forgeai,Application,8,0,0,0,3,0,2,0,2,0
