GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jacoco-report/api-rest,com.sitionix.forgeai.api,ForgeAiController,0,27,0,0,0,6,0,2,0,2
jacoco-report/api-rest,com.sitionix.forgeai.api,TerminalTtyResolver,0,15,0,2,0,5,0,3,0,2
jacoco-report/api-rest,com.sitionix.forgeai.api,ForgeAiExceptionHandler,0,52,2,6,0,12,2,5,0,3
jacoco-report/api-rest,com.sitionix.forgeai.mapper,ForgeAiApiMapperImpl,8,84,7,5,2,21,6,3,0,3
jacoco-report/api-rest,com.sitionix.forgeai.mapper,ForgeAiApiMapper,2,6,1,1,0,1,1,1,0,1
jacoco-report/application,com.sitionix.forgeai.config,AgentInfoInjector,12,42,2,4,2,9,2,2,0,1
jacoco-report/application,com.sitionix.forgeai.application.usecase,StartForgeAiTaskUseCase,0,203,0,4,0,52,0,19,0,17
jacoco-report/domain,com.sitionix.forgeai.domain.model.ticket.lane,ScopeMode,6,33,0,0,0,7,1,3,1,3
jacoco-report/domain,com.sitionix.forgeai.domain.model.ticket.lane,LaneStatus,0,33,0,0,0,6,0,1,0,1
jacoco-report/domain,com.sitionix.forgeai.domain.model.ticket.lane,Agent,13,95,1,1,1,17,2,4,1,4
jacoco-report/domain,com.sitionix.forgeai.domain.model.ticket.lane,ScopeMode.new ScopeMode() {...},0,12,0,0,0,3,0,3,0,3
jacoco-report/domain,com.sitionix.forgeai.domain.model.ticket.lane,ScopeMode.new ScopeMode() {...},0,17,0,2,0,5,0,4,0,3
jacoco-report/domain,com.sitionix.forgeai.domain.model.ticket,TicketStatus,0,21,0,0,0,4,0,1,0,1
jacoco-report/domain,com.sitionix.forgeai.domain.model.service,ServiceGroup,0,21,0,0,0,4,0,1,0,1
jacoco-report/domain,com.sitionix.forgeai.domain.exception,ServicePropertyMissingException,0,4,0,0,0,2,0,1,0,1
jacoco-report/mongodb,com.sitionix.forgeai.infrastructure.mongodb,TicketEntityMapperImpl,8,155,4,8,4,40,4,7,0,5
jacoco-report/mongodb,com.sitionix.forgeai.infrastructure.mongodb,LaneDependencyEntityMapperImpl,4,40,2,2,2,13,2,3,0,3
jacoco-report/mongodb,com.sitionix.forgeai.infrastructure.mongodb,LaneEntityMapperImpl,8,151,4,8,4,40,4,7,0,5
jacoco-report/mongodb,com.sitionix.forgeai.infrastructure.mongodb.adapter,TicketRepositoryImpl,0,16,0,0,0,3,0,1,0,1
jacoco-report/codex-cli,com.sitionix.forgeai.infrastructure.codexcli.adapter,CodexCliCommandBuilder,5,32,3,1,1,8,2,4,0,4
jacoco-report/codex-cli,com.sitionix.forgeai.infrastructure.codexcli.adapter,CodexCliJsonClient,0,28,0,0,0,7,0,2,0,2
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties.DbConfig,10,3,2,0,1,1,2,1,1,1
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties,0,12,0,2,0,2,0,3,0,2
jacoco-report/boot,com.sitionix.forgeai.config,AgentIdConverter,11,3,4,0,3,1,3,1,1,1
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties.DeployConfig,0,3,0,0,0,1,0,1,0,1
jacoco-report/boot,com.sitionix.forgeai.config,AgentProperties,0,12,0,2,0,2,0,3,0,2
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties.TestType,0,21,0,0,0,4,0,1,0,1
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties.DbType,0,21,0,0,0,4,0,1,0,1
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties.ServiceConfig,10,9,1,1,0,2,2,2,1,2
jacoco-report/boot,com.sitionix.forgeai.config,AgentProperties.AgentConfig,9,46,2,6,4,15,2,8,0,6
jacoco-report/boot,com.sitionix.forgeai.config,ServiceProperties.DeployUnitConfig,0,3,0,0,0,1,0,1,0,1
